URL,Version,Status,OIDs,Name,Title,Description,Used
http://data.cochrane.org/ontologies/pico/,4.0.1,draft,,CochranePICOOntology,Cochrane PICO Ontology,"The PICO ontology describes questions in evidence based healthcare with the intention of supporting the publishing of evidence as linked data.","ValueSet/cochrane-pico-population,ValueSet/cochrane-pico-intervention,ValueSet/cochrane-pico-outcome,ValueSet/cochrane-pico"
http://hl7.org/fhir/CodeSystem/iana-link-relations,5.0.0,active,,LinkRelationTypes,Link Relation Types,"Link Relation Types defined at https://www.iana.org/assignments/link-relations/link-relations.xhtml#link-relations-1","ValueSet/iana-link-relations"
http://hl7.org/fhir/action-cardinality-behavior,5.0.0,active,"2.16.840.1.113883.4.642.4.808,2.16.840.1.113883.4.642.1.791",ActionCardinalityBehavior,Action Cardinality Behavior,"Defines behavior for an action or a group for how many times that item may be repeated.","ValueSet/action-cardinality-behavior"
http://hl7.org/fhir/action-code,5.0.0,active,"2.16.840.1.113883.4.642.4.1944",ActionCode,Action Code,"Provides examples of actions to be performed.","ValueSet/action-code"
http://hl7.org/fhir/action-condition-kind,5.0.0,active,"2.16.840.1.113883.4.642.1.799,2.16.840.1.113883.4.642.4.816",ActionConditionKind,Action Condition Kind,"Defines the kinds of conditions that can appear on actions.","ValueSet/action-condition-kind"
http://hl7.org/fhir/action-grouping-behavior,5.0.0,active,"2.16.840.1.113883.4.642.4.800,2.16.840.1.113883.4.642.1.783",ActionGroupingBehavior,Action Grouping Behavior,"Defines organization behavior of a group.","ValueSet/action-grouping-behavior"
http://hl7.org/fhir/action-participant-function,5.0.0,active,"2.16.840.1.113883.4.642.4.1946",ActionParticipantFunction,Action Participant Function,"The function performed by the participant for the action.","ValueSet/action-participant-function"
http://hl7.org/fhir/action-participant-type,5.0.0,active,"2.16.840.1.113883.4.642.1.795,2.16.840.1.113883.4.642.4.812",ActionParticipantType,Action Participant Type,"The type of participant for the action.","ValueSet/action-participant-type"
http://hl7.org/fhir/action-precheck-behavior,5.0.0,active,"2.16.840.1.113883.4.642.1.789,2.16.840.1.113883.4.642.4.806",ActionPrecheckBehavior,Action Precheck Behavior,"Defines selection frequency behavior for an action or group.","ValueSet/action-precheck-behavior"
http://hl7.org/fhir/action-reason-code,5.0.0,active,"2.16.840.1.113883.4.642.4.1945",ActionReasonCode,Action Reason Code,"Provides examples of reasons for actions to be performed.","ValueSet/action-reason-code"
http://hl7.org/fhir/action-relationship-type,5.0.0,active,"2.16.840.1.113883.4.642.1.797,2.16.840.1.113883.4.642.4.814",ActionRelationshipType,Action Relationship Type,"Defines the types of relationships between actions.","ValueSet/action-relationship-type"
http://hl7.org/fhir/action-required-behavior,5.0.0,active,"2.16.840.1.113883.4.642.1.787,2.16.840.1.113883.4.642.4.804",ActionRequiredBehavior,Action Required Behavior,"Defines expectations around whether an action or action group is required.","ValueSet/action-required-behavior"
http://hl7.org/fhir/action-selection-behavior,5.0.0,active,"2.16.840.1.113883.4.642.1.785,2.16.840.1.113883.4.642.4.802",ActionSelectionBehavior,Action Selection Behavior,"Defines selection behavior of a group.","ValueSet/vs-action-selection-behavior-required,ValueSet/action-selection-behavior"
http://hl7.org/fhir/artifact-contribution-instance-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1874",ArtifactContributionInstanceType,Artifact Contribution Instance Type,"Artifact Contribution Instance Type","ValueSet/artifact-contribution-instance-type"
http://hl7.org/fhir/artifact-contribution-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1891",ArtifactContributionType,Artifact Contribution Type,"Citation contribution.","ValueSet/artifact-contribution-type"
http://hl7.org/fhir/artifact-url-classifier,5.0.0,active,"2.16.840.1.113883.4.642.4.1876",ArtifactUrlClassifier,Artifact Url Classifier,"Code the reason for different URLs, eg abstract and full-text.","ValueSet/artifact-url-classifier"
http://hl7.org/fhir/artifactassessment-disposition,5.0.0,active,"2.16.840.1.113883.4.642.4.2024",ArtifactAssessmentDisposition,Artifact Assessment Disposition,"Possible values for the disposition of a comment or change request, typically used for comments and change requests, to indicate the disposition of the responsible party towards the changes suggested by the comment or change request.","ValueSet/artifactassessment-disposition"
http://hl7.org/fhir/artifactassessment-information-type,5.0.0,active,"2.16.840.1.113883.4.642.4.2025",ArtifactAssessmentInformationType,Artifact Assessment Information Type,"The type of information contained in a component of an artifact assessment.","ValueSet/artifactassessment-information-type"
http://hl7.org/fhir/artifactassessment-workflow-status,5.0.0,active,"2.16.840.1.113883.4.642.4.2023",ArtifactAssessmentWorkflowStatus,Artifact Assessment Workflow Status,"Possible values for the workflow status of the comment or assessment, typically used to coordinate workflow around the process of accepting and rejecting changes and comments on the artifact.","ValueSet/artifactassessment-workflow-status"
http://hl7.org/fhir/bundle-type,5.0.0,active,"2.16.840.1.113883.4.642.2.327,2.16.840.1.113883.4.642.1.613,2.16.840.1.113883.4.642.4.621",BundleType,Bundle Type,"Indicates the purpose of a bundle - how it is intended to be used.","ValueSet/bundle-type"
http://hl7.org/fhir/certainty-rating,5.0.0-cibuild,active,"2.16.840.1.113883.4.642.4.1941",EvidenceCertaintyRating,Evidence Certainty Rating,"The assessment of quality, confidence, or certainty.","ValueSet/vs-rating-certainty-of-evidence,ValueSet/vs-rating-concern-degree,ValueSet/certainty-rating,ValueSet/vs-rating-uprating-two-levels,ValueSet/vs-rating-uprating-one-level"
http://hl7.org/fhir/certainty-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1939",EvidenceCertaintyType,Evidence Certainty Type,"The aspect of quality, confidence, or certainty.","ValueSet/certainty-type"
http://hl7.org/fhir/characteristic-combination,5.0.0,active,"2.16.840.1.113883.4.642.4.1952",CharacteristicCombination,Characteristic Combination,"Logical grouping of characteristics.","ValueSet/characteristic-combination"
http://hl7.org/fhir/characteristic-offset,5.0.0,active,"2.16.840.1.113883.4.642.4.1954",CharacteristicOffset,Characteristic Offset,"Reference point for characteristic.valueQuantity.","ValueSet/characteristic-offset"
http://hl7.org/fhir/citation-artifact-classifier,5.0.0,draft,"2.16.840.1.113883.4.642.4.1982",CitationArtifactClassifier,Citation Artifact Classifier,"Citation artifact classifier","ValueSet/citation-artifact-classifier"
http://hl7.org/fhir/citation-classification-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1888",CitationClassificationType,Citation Classification Type,"Citation classification type","ValueSet/citation-classification-type"
http://hl7.org/fhir/citation-status-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1878",CitationStatusType,Citation Status Type,"Citation status type","ValueSet/citation-status-type"
http://hl7.org/fhir/citation-summary-style,5.0.0,active,"2.16.840.1.113883.4.642.4.1890",CitationSummaryStyle,Citation Summary Style,"The format for display of the citation.","ValueSet/citation-summary-style"
http://hl7.org/fhir/cited-artifact-abstract-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1879",CitedArtifactAbstractType,Cited Artifact Abstract Type,"Used to express the reason and specific aspect for the variant abstract, such as language and specific language","ValueSet/cited-artifact-abstract-type"
http://hl7.org/fhir/cited-artifact-classification-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1885",CitedArtifactClassificationType,Cited Artifact Classification Type,"Cited Artifact Classification Type","ValueSet/cited-artifact-classification-type"
http://hl7.org/fhir/cited-artifact-part-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1877",CitedArtifactPartType,Cited Artifact Part Type,"To describe the reason for the variant citation, such as version number or subpart specification.","ValueSet/cited-artifact-part-type"
http://hl7.org/fhir/cited-artifact-status-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1892",CitedArtifactStatusType,Cited Artifact Status Type,"Cited Artifact Status Type","ValueSet/vs-guideline-recommendation-status,ValueSet/cited-artifact-status-type"
http://hl7.org/fhir/cited-medium,5.0.0,active,"2.16.840.1.113883.4.642.4.1881",CitedMedium,Cited Medium,"NLM codes Internet or Print.","ValueSet/cited-medium"
